ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
8970	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8971	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8972	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8973	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8974	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8975	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	41.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8976	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8977	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	38	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8978	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8979	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	38.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8980	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	43	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8981	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8982	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	39.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8983	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	38.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
