ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
8970	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8971	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8974	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8975	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	41.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8979	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	38.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8981	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8984	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8985	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8987	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8989	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	38	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8990	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8995	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8996	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
8997	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
