	a1940	a1941	a1961	a1963	a1970	a1971	a1973	a1974	a1975	a1977	a1978	a1983	a1984	a1989	a1991	a1992	a1993	a1995	a1997	a1998	a1999	a2000	a2001	a2002	a2003	a2004	a2005	a2006	a2007	a2008	a2009	a2010	a2011	a2012	a2013	a2014	a2015	a2016	a2017
Anocau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	29	9	1	1	11	2	13	30	3	1	2	17	28	47	19	16	26	5
Anogeo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	9	1	2	0	0	0	10	29	1	2	2	16	4	10	18	2	0	1
Artcin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	37	28	11	0	0	0	2	2	3	43	2	0	0	47	43	16	110	67	61	0
Artfim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	46	84	87	62	0	4	19	42	43	23	11	21	16	30	25	105	5	103	3
Artgno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Artlit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	81	109	101	67	30	0	20	36	189	360	42	22	131	139	227	306	350	101	177	65
Artobs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	102	100	18	8	0	0	1	0	12	131	21	3	2	9	33	49	153	10	21	4
Artpla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	13	1	1	0	0	2	0	32	23	6	11	0	79	731	239	354	238	533	361
Artsp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
Carbre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	11	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	3	3
Carper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	249	998	964	584	389	30	16	46	22	123	440	54	8	38	301	199	287	596	554	366	101
Cenmax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Chidor	0	0	0	1	1	17	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	1	2	1	0	1	0	1	6	2	1	0	2	9	10	18	3	3	0
Chivil	0	0	0	0	0	11	2	0	0	0	1	1	4	1	0	0	3	0	3	4	1	0	1	1	0	0	0	0	1	0	14	0	2	9	3	0	1	1	0
Chraur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	2	1	4	1	2	2	0	0	0	0	3	16	0	4	4	2
Cynpla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0
Derand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Desrot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	15	11	13	7	8	3	7	1	12	34	7	5	7	13	6	130	26	24	36	15
Diayou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dipeca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	2	0	0	1	0	0	0	0	0	0
Drycap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eptbra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	4	6	0	0	0
Eptdim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	12	3	1	7	0	5	1	1	1	2	2
Eptfur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	13	8	6	12	2
Eptfus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
